,t,open,high,low,close
15204,2024-08-09 06:15:00-04:00,1.09213,1.09246,1.09207,1.09233
15205,2024-08-09 06:30:00-04:00,1.09233,1.09257,1.09207,1.09224
15206,2024-08-09 06:45:00-04:00,1.09225,1.09232,1.09183,1.09196
15207,2024-08-09 07:00:00-04:00,1.09195,1.09204,1.09167,1.09195
15208,2024-08-09 07:15:00-04:00,1.09196,1.09231,1.09173,1.09186
15209,2024-08-09 07:30:00-04:00,1.09186,1.09227,1.09186,1.09205
15210,2024-08-09 07:45:00-04:00,1.09205,1.09209,1.09173,1.09175
15211,2024-08-09 08:00:00-04:00,1.09175,1.09206,1.0915,1.0919
15212,2024-08-09 08:15:00-04:00,1.09191,1.09191,1.09143,1.09153
15213,2024-08-09 08:30:00-04:00,1.09153,1.0918,1.09144,1.09144
15214,2024-08-09 08:45:00-04:00,1.09139,1.09165,1.09113,1.0916
15215,2024-08-09 09:00:00-04:00,1.0916,1.09194,1.09146,1.09158
15216,2024-08-09 09:15:00-04:00,1.09158,1.09159,1.09117,1.09145
15217,2024-08-09 09:30:00-04:00,1.0914,1.09166,1.0909,1.09093
15218,2024-08-09 09:45:00-04:00,1.09093,1.09135,1.0909,1.09116
15219,2024-08-09 10:00:00-04:00,1.09116,1.09149,1.09096,1.09149
15220,2024-08-09 10:15:00-04:00,1.0915,1.09226,1.09143,1.09222
15221,2024-08-09 10:30:00-04:00,1.09223,1.09239,1.09183,1.0923
15222,2024-08-09 10:45:00-04:00,1.09232,1.09236,1.09206,1.09222
15223,2024-08-09 11:00:00-04:00,1.09223,1.09249,1.09212,1.09246
15224,2024-08-09 11:15:00-04:00,1.09246,1.09312,1.09239,1.09299
15225,2024-08-09 11:30:00-04:00,1.09298,1.09299,1.09225,1.09237
15226,2024-08-09 11:45:00-04:00,1.09237,1.09269,1.09216,1.09229
15227,2024-08-09 12:00:00-04:00,1.09229,1.09253,1.09217,1.09246
15228,2024-08-09 12:15:00-04:00,1.09246,1.0926,1.09234,1.09238
15229,2024-08-09 12:30:00-04:00,1.09238,1.09254,1.09217,1.09238
15230,2024-08-09 12:45:00-04:00,1.09238,1.09275,1.09237,1.0924
15231,2024-08-09 13:00:00-04:00,1.09239,1.09245,1.0918,1.0918
15232,2024-08-09 13:15:00-04:00,1.09179,1.09201,1.09177,1.09179
